pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_Illumina_NA12878.grch38.deepvariant.full.s0,57214.0,421.0,22.0,24.8,28.0,337.0,17.0,22.8,132.0,286.0,17.0,18.85,142.0,352.5,17.5,19.85
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s42,60204.0,128.0,99.0,2259.05,16.0,26.0,36.5,958.02,149.0,66.0,99.0,190.6,216.0,72.0,99.0,156.62
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s43,60211.0,128.0,99.0,2258.64,19.0,12.0,36.0,308.01,125.0,60.0,73.0,96.64,161.0,69.0,99.0,124.63
ZY_Illumina_NA12878.grch38.gatk4_hc.100x.s44,60153.0,128.0,99.0,2256.64,15.0,9.0,12.0,197.64,119.0,38.0,84.0,118.02,197.0,69.0,87.0,145.64
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s42,50844.0,16.0,94.0,288.64,11.0,4.0,15.0,103.64,73.0,13.0,39.0,65.32,190.0,7.0,44.0,68.98
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s43,51047.0,16.0,96.0,287.64,13.0,3.0,9.0,110.84,91.0,10.0,40.0,61.64,128.0,7.0,45.0,56.12
ZY_Illumina_NA12878.grch38.gatk4_hc.10x.s44,51071.0,16.0,95.0,285.64,15.0,5.0,6.0,111.92,74.0,11.0,42.0,61.64,187.0,8.0,52.0,67.64
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s42,53892.0,23.0,99.0,404.64,10.0,5.0,4.0,158.04,65.0,14.0,45.0,65.64,163.0,9.0,57.0,78.32
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s43,54019.0,23.0,99.0,403.64,30.0,6.0,13.0,207.83,75.0,14.0,51.0,74.32,119.0,10.0,51.0,58.64
ZY_Illumina_NA12878.grch38.gatk4_hc.15x.s44,54093.0,22.0,99.0,402.64,7.0,6.0,6.0,139.93,77.0,14.0,45.0,60.64,150.0,9.5,48.0,58.64
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s42,61004.0,236.0,99.0,4150.35,9.0,43.0,30.0,881.02,116.0,161.0,98.0,113.62,137.0,162.0,99.0,520.64
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s43,61108.0,237.0,99.0,4149.14,9.0,31.0,50.0,547.77,87.0,78.0,99.0,169.87,100.0,109.0,99.0,236.62
ZY_Illumina_NA12878.grch38.gatk4_hc.200x.s44,61135.0,236.0,99.0,4138.06,11.0,23.0,35.0,536.02,90.0,115.5,99.0,266.64,103.0,119.0,99.0,353.64
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s1,57359.0,42.0,99.0,748.64,18.0,8.0,15.0,198.63,110.0,19.0,58.5,94.12,189.0,21.0,57.0,93.6
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s42,57360.0,42.0,99.0,747.85,17.0,9.0,33.0,262.97,81.0,14.0,56.0,63.64,205.0,17.0,70.0,102.6
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s43,57337.0,42.0,99.0,752.06,12.0,9.5,15.0,261.89,112.0,22.0,51.0,66.12,165.0,26.0,69.0,114.6
ZY_Illumina_NA12878.grch38.gatk4_hc.30x.s44,57384.0,42.0,99.0,753.06,7.0,10.0,9.0,221.86,87.0,21.0,57.0,78.28,149.0,12.0,48.0,78.32
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s42,58828.0,67.0,99.0,1195.64,7.0,23.0,35.0,489.02,123.0,35.0,70.0,100.0,170.0,36.0,84.0,125.12
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s43,58891.0,68.0,99.0,1198.6,16.0,6.5,34.5,195.56,110.0,28.0,67.5,84.12,200.0,34.0,70.5,88.64
ZY_Illumina_NA12878.grch38.gatk4_hc.50x.s44,58907.0,68.0,99.0,1195.64,12.0,13.5,47.5,431.04,118.0,27.5,71.5,98.1,199.0,41.0,87.0,107.64
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s42,42900.0,9.0,54.0,168.64,8.0,6.0,6.5,169.23,46.0,5.0,32.0,46.64,157.0,5.0,40.0,59.32
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s43,43280.0,9.0,54.0,170.04,7.0,7.0,21.0,196.64,82.0,6.0,38.0,35.44,98.0,4.0,34.5,49.98
ZY_Illumina_NA12878.grch38.gatk4_hc.5x.s44,43156.0,9.0,54.0,168.64,14.0,5.0,13.0,98.3,61.0,5.0,38.0,56.64,193.0,6.0,37.0,69.97
ZY_Illumina_NA12878.grch38.gatk4_hc.full.s0,61923.0,574.0,99.0,10040.1,8.0,19.5,40.0,887.52,158.0,229.0,99.0,297.64,132.0,273.5,99.0,667.62
